Date,Home Team,Away Team,Home Score,Away Score
2025-04-23T01:40:00Z,Arizona Diamondbacks,Tampa Bay Rays,5,1
2025-04-23T01:45:00Z,San Francisco Giants,Milwaukee Brewers,3,11
2025-04-23T02:05:00Z,Athletics,Texas Rangers,5,8
2025-04-23T16:15:00Z,Atlanta Braves,St. Louis Cardinals,4,1
2025-04-23T17:10:00Z,Detroit Tigers,San Diego Padres,6,0
2025-04-23T17:10:00Z,New York Mets,Philadelphia Phillies,4,3
2025-04-23T17:10:00Z,Miami Marlins,Cincinnati Reds,2,5
2025-04-23T17:10:00Z,Cleveland Guardians,New York Yankees,1,5
2025-04-23T22:45:00Z,Washington Nationals,Baltimore Orioles,4,3
2025-04-23T22:45:00Z,Boston Red Sox,Seattle Mariners,5,8
2025-04-23T23:00:00Z,Chicago Cubs,Los Angeles Dodgers,7,6
2025-04-23T23:40:00Z,Houston Astros,Toronto Blue Jays,3,1
2025-04-23T23:40:00Z,Minnesota Twins,Chicago White Sox,6,3
2025-04-24T01:38:00Z,Los Angeles Angels,Pittsburgh Pirates,0,3
2025-04-24T01:40:00Z,Arizona Diamondbacks,Tampa Bay Rays,6,7
2025-04-24T01:45:00Z,San Francisco Giants,Milwaukee Brewers,4,2
2025-04-24T02:05:00Z,Athletics,Texas Rangers,5,2
2025-04-24T17:35:00Z,Boston Red Sox,Seattle Mariners,3,4
2025-04-24T18:10:00Z,Kansas City Royals,Colorado Rockies,7,4
2025-04-24T18:15:00Z,Kansas City Royals,Colorado Rockies,6,2
2025-04-24T19:45:00Z,San Francisco Giants,Milwaukee Brewers,6,5
